epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,221.583,1.35418,2.9284,1.41735,0.58618,0.471,0.51499,0.30089,1.56211,2.05661,1.52452,0.00332997,0.00332997,0.00332997
2,432.946,1.27668,1.92617,1.36124,0.50833,0.48171,0.48637,0.27602,1.67239,2.07665,1.61347,0.00653137,0.00653137,0.00653137
3,644.289,1.37075,1.75804,1.43198,0.55665,0.42297,0.43039,0.22822,1.83814,2.1105,1.81048,0.00960077,0.00960077,0.00960077
4,852.219,1.42371,1.70789,1.48503,0.49663,0.35497,0.37615,0.22577,1.99473,2.46292,2.01834,0.009406,0.009406,0.009406
5,1061.76,1.326,1.47424,1.41524,0.68589,0.51512,0.56357,0.34937,1.65602,1.54296,1.62731,0.009208,0.009208,0.009208
6,1270.38,1.25682,1.31535,1.36064,0.6934,0.58252,0.63429,0.38172,1.6361,1.42641,1.61895,0.00901,0.00901,0.00901
7,1478.59,1.20779,1.22036,1.3226,0.71487,0.55496,0.63585,0.40133,1.64454,1.40784,1.61049,0.008812,0.008812,0.008812
8,1686.66,1.18233,1.14773,1.30947,0.71334,0.64763,0.69225,0.44186,1.5646,1.23993,1.55099,0.008614,0.008614,0.008614
9,1895.54,1.15477,1.09889,1.2984,0.80467,0.66183,0.73745,0.48077,1.54181,1.0975,1.51531,0.008416,0.008416,0.008416
10,2104.15,1.12382,1.05807,1.27473,0.73842,0.59535,0.68879,0.43782,1.58536,1.20906,1.53944,0.008218,0.008218,0.008218
11,2313.05,1.10824,1.0127,1.26241,0.81591,0.64858,0.72982,0.45892,1.57287,1.11428,1.52803,0.00802,0.00802,0.00802
12,2521.6,1.0972,0.98859,1.24889,0.8165,0.67799,0.74049,0.48344,1.56511,1.13152,1.51213,0.007822,0.007822,0.007822
13,2729.69,1.08066,0.96283,1.24078,0.84013,0.64019,0.73701,0.49225,1.46629,1.03555,1.44962,0.007624,0.007624,0.007624
14,2937.88,1.05918,0.9335,1.2268,0.826,0.72414,0.80688,0.52858,1.4902,0.93743,1.46634,0.007426,0.007426,0.007426
15,3147.53,1.0436,0.91353,1.22269,0.76261,0.71484,0.7471,0.48024,1.50503,1.01277,1.47341,0.007228,0.007228,0.007228
16,3357.04,1.04266,0.89501,1.21415,0.84332,0.72695,0.79323,0.52297,1.50397,0.93253,1.45672,0.00703,0.00703,0.00703
17,3565.7,1.0223,0.87217,1.20673,0.85599,0.7283,0.80585,0.55033,1.45173,0.92871,1.41009,0.006832,0.006832,0.006832
18,3775.06,1.01529,0.84639,1.19512,0.8763,0.73287,0.80569,0.55057,1.46446,0.92328,1.44143,0.006634,0.006634,0.006634
19,3984.27,0.99892,0.83351,1.18766,0.87347,0.73143,0.81717,0.55671,1.45784,0.90416,1.41663,0.006436,0.006436,0.006436
20,4193.3,0.98454,0.81557,1.17997,0.83386,0.74819,0.81065,0.55479,1.46765,0.89724,1.43636,0.006238,0.006238,0.006238
21,4401.49,0.98366,0.80578,1.1741,0.88024,0.73968,0.82744,0.57784,1.43994,0.8506,1.4159,0.00604,0.00604,0.00604
22,4610.85,0.97324,0.79699,1.17134,0.84673,0.76713,0.82226,0.55878,1.43007,0.84901,1.40107,0.005842,0.005842,0.005842
23,4821.01,0.96385,0.77868,1.16894,0.83171,0.78748,0.84386,0.57018,1.41254,0.82418,1.38343,0.005644,0.005644,0.005644
24,5029.72,0.96655,0.77058,1.16616,0.86749,0.76406,0.84721,0.58371,1.41983,0.82423,1.38919,0.005446,0.005446,0.005446
25,5239.14,0.95502,0.76325,1.15526,0.90716,0.76244,0.85156,0.58272,1.41101,0.78226,1.37899,0.005248,0.005248,0.005248
26,5448.7,0.94159,0.74103,1.15512,0.87724,0.77818,0.85483,0.59681,1.39839,0.76737,1.38239,0.00505,0.00505,0.00505
27,5657.32,0.93767,0.73164,1.14595,0.90552,0.7789,0.85687,0.59299,1.39716,0.75602,1.37679,0.004852,0.004852,0.004852
28,5865.59,0.92976,0.71586,1.14258,0.8683,0.77007,0.83839,0.57977,1.41515,0.7789,1.39596,0.004654,0.004654,0.004654
29,6074.83,0.91853,0.71038,1.13364,0.90146,0.76925,0.84556,0.5931,1.39533,0.75787,1.37286,0.004456,0.004456,0.004456
30,6283.03,0.91268,0.70075,1.13256,0.85712,0.79722,0.85549,0.60376,1.38719,0.76961,1.36988,0.004258,0.004258,0.004258
31,6492.01,0.91027,0.68877,1.13292,0.90212,0.75633,0.8458,0.58787,1.4193,0.7658,1.38571,0.00406,0.00406,0.00406
32,6700.94,0.89675,0.67741,1.12264,0.85889,0.78063,0.84319,0.58887,1.40328,0.76114,1.36949,0.003862,0.003862,0.003862
33,6910.57,0.90336,0.67376,1.12423,0.90068,0.76202,0.84662,0.59578,1.39446,0.74605,1.37881,0.003664,0.003664,0.003664
34,7119.39,0.88897,0.65715,1.11437,0.88759,0.78161,0.85486,0.59998,1.39099,0.73392,1.37841,0.003466,0.003466,0.003466
